ID	stim_file	start_vol	end_vol
sub-control027	19_H17_combined_small.mp4	678	711
sub-control027	20_Trick20_short_combined_small.mp4	546	568
sub-control027	21_S15_combined_small.mp4	942	967
sub-control027	22_K18_combined_small.mp4	1079	1099
sub-control027	23_K10_combined_small.mp4	752	773
sub-control027	24_Trick28_combined_small.mp4	975	1005
sub-control027	25_S25_combined_small.mp4	869	905
sub-control027	26_S30_combined_small.mp4	25	47
sub-control027	27_S31_combined_small.mp4	521	541
sub-control027	28_K24_combined_small.mp4	270	291
sub-control027	29_H36_combined_small.mp4	488	515
sub-control027	30_H15_combined_small.mp4	171	196
sub-control027	31_K3_combined_small.mp4	614	636
sub-control027	32_K16_short_combined_small.mp4	809	834
sub-control027	33_S21_combined_small.mp4	120	140
sub-control027	34_Trick38_combined_small.mp4	365	388
sub-control027	35_Trick32_long_combined_small.mp4	201	234
sub-control027	36_Trick7_short_combined_small.mp4	0	20
sub-control029	01_H35_combined_small.mp4	1103	1131
sub-control029	02_H10_combined_small.mp4	154	179
sub-control029	03_H16_combined_small.mp4	361	387
sub-control029	04_S9_combined_small.mp4	1001	1026
sub-control029	05_K4_combined_small.mp4	209	234
sub-control029	06_H7_combined_small.mp4	420	446
sub-control029	07_K2_combined_small.mp4	624	647
sub-control029	08_S12_combined_small.mp4	966	996
sub-control029	09_S11_combined_small.mp4	680	701
sub-control029	10_S27_combined_small.mp4	96	121
sub-control029	11_K21_long_combined_small.mp4	873	904
sub-control029	12_H37_combined_small.mp4	595	619
sub-control029	13_Trick6_short_combined_small.mp4	0	28
sub-control029	14_K19_long_combined_small.mp4	748	773
sub-control029	15_S18_combined_small.mp4	1032	1057
sub-control029	16_H19_combined_small.mp4	278	299
sub-control029	17_Trick37_combined_small.mp4	240	272
sub-control029	18_Trick4_combined_small.mp4	555	588
sub-control029	19_H17_combined_small.mp4	1065	1098
sub-control029	20_Trick20_short_combined_small.mp4	126	148
sub-control029	21_S15_combined_small.mp4	842	867
sub-control029	22_K18_combined_small.mp4	938	958
sub-control029	23_K10_combined_small.mp4	654	675
sub-control029	24_Trick28_combined_small.mp4	807	837
sub-control029	25_S25_combined_small.mp4	484	520
sub-control029	26_S30_combined_small.mp4	393	415
sub-control029	27_S31_combined_small.mp4	68	88
sub-control029	28_K24_combined_small.mp4	780	801
sub-control029	29_H36_combined_small.mp4	33	60
sub-control029	30_H15_combined_small.mp4	454	479
sub-control029	31_K3_combined_small.mp4	306	328
sub-control029	32_K16_short_combined_small.mp4	525	550
sub-control029	33_S21_combined_small.mp4	336	356
sub-control029	34_Trick38_combined_small.mp4	910	933
sub-control029	35_Trick32_long_combined_small.mp4	707	740
sub-control029	36_Trick7_short_combined_small.mp4	184	204
sub-control031	01_H35_combined_small.mp4	580	608
sub-control031	02_H10_combined_small.mp4	676	701
sub-control031	03_H16_combined_small.mp4	645	671
sub-control031	04_S9_combined_small.mp4	179	204
sub-control031	05_K4_combined_small.mp4	298	323
sub-control031	06_H7_combined_small.mp4	1047	1073
sub-control031	07_K2_combined_small.mp4	447	470
sub-control031	08_S12_combined_small.mp4	0	30
sub-control031	09_S11_combined_small.mp4	417	438
sub-control031	10_S27_combined_small.mp4	68	93
sub-control031	11_K21_long_combined_small.mp4	842	873
sub-control031	12_H37_combined_small.mp4	737	761
sub-control031	13_Trick6_short_combined_small.mp4	809	837
sub-control031	14_K19_long_combined_small.mp4	238	263
sub-control031	15_S18_combined_small.mp4	1017	1042
