sub_a_roi1,sub_a_roi2,sub_b_roi1,sub_b_roi2
-0.421481,-0.185757,0.110821,0.661557
-0.0952997,-0.0392629,0.0441246,0.0249895
-0.298522,-0.0916349,0,0
0.181438,0.37898,0,0
0.320247,0.0942153,0,0
0.044903,0.0410934,0,0
-0.162455,-0.157751,0,0
-0.267136,-0.175201,-0.690999,0.430923
0.208189,0.105919,0.072348,0.279131
0.113911,0.0819598,0.042952,-0.172285
-0.326298,0.168633,-0.254479,0.0266972
-0.0204227,0.3146,-0.0380621,0.215957
0.495015,0.394482,-0.249107,-0.174047
0.0516757,0.101146,-0.216811,-0.0878742
0.12312,-0.238744,-0.173788,-0.0254916
-0.201303,-0.193241,-0.238726,-0.226739
-0.0601951,-0.300404,-0.236792,-0.0761139
0.3101,0.264764,-0.311899,-0.0359528
-0.366816,0.0354935,-0.251046,-0.0814264
0.0320961,0.175072,0.25133,0.317027
-0.393427,-0.0984268,0.0847362,0.271012
-0.457885,-0.134109,-0.285706,-0.0314035
-0.638184,-0.06838,-0.466623,-0.238033
-0.309732,-0.374996,0.0911908,0.115536
-0.69024,-0.0730925,-0.118259,0.217107
0.0637135,0.596558,0.120069,0.449271
0.249309,0.587423,0.0628065,0.344672
-0.409416,0.162154,0.0497283,-0.412605
-0.545095,-0.0683485,-0.243869,-0.219606
0.0484085,-0.094782,-0.518388,0.435352
0.230202,-0.217897,0.182525,0.135368
0.398986,0.231765,0.0201764,-0.103526
-0.420824,0.0160004,-0.206684,0.183171
-0.224292,0.281207,0.0676856,0.3676
-0.134961,0.0417101,-0.31878,0.0699114
-0.206531,-0.253733,-0.36326,0.554533
0.241624,0.0724365,0.17669,0.202453
-0.0431632,-0.169414,-0.442166,0.205506
0.128507,0.128875,-0.057252,0.28278
0.0877572,0.685899,-0.0397832,0.478627
0.421372,0.165948,0.396942,0.23867
-0.223322,-0.15129,-0.324293,-0.0121682
-0.254964,-0.282926,-0.266771,-0.234496
-0.623086,-0.250809,0.535307,0.090211
-0.397957,-0.510484,-0.34157,-0.0586431
-0.233255,0.0475988,-0.451212,-0.54172
-0.19686,-0.189728,-0.392213,-0.147216
0.251598,-0.0478814,-0.0635076,0.153705
-0.229919,0.231196,0.0552267,0.120895
-0.471991,-0.0169329,-0.178111,0.0734853
0.0417731,0.193392,0.374797,0.226072
-0.0010444,0.303702,-0.0511307,-0.164716
-0.276582,0.368503,0.0628073,-0.123059
0.0657055,0.0788767,-0.315339,-0.262091
0.477954,0.466515,-0.479689,0.169781
-0.0193,0.509689,-0.10793,-0.177445
0.0311978,0.140151,0.384011,-0.438119
0.0335228,-0.51034,0.129528,-0.329108
-0.176172,-0.750008,-0.198989,0.0862409
-0.00393773,-0.128245,-0.209174,-0.0192772
-0.0579743,-0.133737,0.0330105,-0.17568
-0.318201,-0.125548,0.0191885,-0.0069391
-0.135178,0.0573719,-0.43671,-0.145766
0.179899,-0.0121662,0.0368477,0.340594
-0.0225157,0.108343,-0.0341722,-0.0854701
-0.128691,0.174604,-0.507741,-0.0900565
-0.393366,0.347077,-0.115631,-0.0658167
0.109818,0.387909,-0.20475,0.143172
-0.126455,0.110987,-0.252575,-0.0293101
-0.546242,-0.109876,-0.576439,-0.0789463
-0.228583,-0.220455,-0.320281,-0.283359
0.222047,-0.159149,0.057545,-0.265915
0.253286,0.136352,-0.34313,0.293491
0.0655713,-0.0482273,-0.25559,0.130133
-0.39278,0.417246,0.349461,0.21344
-0.348268,0.333144,0.509583,0.462033
-0.0975914,-0.362013,-0.00377584,0.0905823
0.0319023,0.211538,0.187694,0.181432
0.189789,0.114649,0.359663,0.133062
0.439863,0.255579,-0.588377,0.17206
-0.33519,0.278848,-0.158405,0.275905
-0.498305,0.322905,0.269613,-0.12299
-0.203665,-0.152611,0.2865,-0.148095
0.0911681,-0.0910742,0.187787,-0.457038
-0.155059,-0.154475,0.0227344,0.114166
-0.270285,-0.296967,0.270055,-0.0617787
-0.212485,0.0606691,0.0147418,-0.100516
0.106015,0.108345,-0.0397479,0.167179
0.197798,-0.0949497,0.106385,-0.0727402
0.246032,0.249822,0.363164,-0.0042373
-0.278879,-0.376463,0.313333,-0.204375
-0.487674,0.14743,-0.0371316,-0.170028
-0.0796032,-0.0493915,0.431167,0.160866
-0.126996,0.0930374,0.170494,0.0752771
-0.716183,0.0247323,-0.289287,0.22162
-0.415366,0.141088,-0.293253,-0.127634
-0.334983,0.0312443,-0.00921275,-0.102469
-0.242581,-0.114129,-0.0328785,0.0508319
-0.149134,-0.262733,-0.00562519,0.131815
-0.673581,-0.596812,-0.257335,-0.106074
-0.0665607,-0.424735,0.00168573,0.211042
-0.711421,-0.408801,0.435165,0.239491
-0.327552,-0.232994,-0.460635,-0.0471937
-0.0251039,0.15214,-0.27358,0.290931
-0.0754811,0.00969247,0.180049,-0.199658
-0.356775,-0.18899,-0.589315,-0.226245
0.227138,0.325952,0.0410105,0.255117
0.0248025,0.337439,-0.0530462,0.476134
-0.389928,0.235387,-0.392771,0.159842
-0.104539,-0.116291,-0.418128,0.260841
0.13875,0.170885,-0.194569,0.29143
0.134048,0.480295,-0.200138,0.148096
-0.169601,0.253458,0.0620905,-0.0025355
-0.285197,-0.13011,0.114299,-0.119481
-0.0122579,-0.0497695,-0.452559,-0.267497
0.376196,-0.192852,-0.12044,-0.397692
-0.243859,-0.091212,0.14116,0.141387
0.0964845,-0.132962,0.108229,0.00718222
-0.0789067,-0.630479,-0.214375,-0.0848273
0.248896,-0.261306,-0.23389,0.47148
0.472986,-0.100707,0.0970895,0.299473
0.0761933,-0.0106343,-0.103321,0.139421
-0.472984,-0.0878838,-0.116667,0.31216
-0.00618857,0.194644,0.132063,0.0904222
0.227846,-0.141319,0.00203172,0.125536
0.333619,0.0028405,-0.236,0.140032
0.166579,0.100288,0.0604997,0.0766185
0.00292158,0.0955888,0.217079,0.256671
-0.200166,0.281977,0.216013,-0.256438
-0.0217516,0.226869,0.0562274,-0.137578
0.124748,0.260422,-0.581884,0.177053
0.000238083,0.139779,0.124358,0.289326
-0.166158,0.0110586,-0.121394,0.303639
-0.25712,0.0213419,0.188526,-0.102893
-0.0982471,-0.0271783,0.00546735,-0.087428
0.118873,-0.139947,-0.258634,-0.0042163
0.0704976,0.0236749,-0.14776,-0.319397
0.192089,0.275352,-0.234369,-0.317627
0.0891814,0.339077,-0.32382,-0.43315
0.114259,0.215251,0.0113535,-0.349777
0.0848805,0.255156,-0.530812,-0.594253
-0.170252,0.342214,0.102008,-0.328858
0.0576708,0.0140794,-0.0391837,-0.377178
-0.390367,-0.347822,-0.285412,0.0658185
0.257804,0.164589,-0.13526,-0.270778
0.460733,0.105611,-0.403642,-0.0129464
-0.418687,0.0689917,-0.635777,-0.233093
-0.415172,-0.114825,-0.456638,-0.336519
-0.477217,-0.0927831,0.379647,0.0422962
-0.354008,0.00561251,0.0816672,0.00430207
0.0182486,0.272907,-0.268142,-0.357338
-0.341583,0.22645,-0.25388,-0.255058
-0.527257,0.100722,0.216273,-0.139143
0.0267178,0.148267,0.264255,0.263253
0.26761,0.0976843,-0.167052,0.368342
-0.375105,0.0593344,0.138553,0.0392298
-0.0990148,-0.12116,0.211822,0.141545
-0.144993,0.0605348,-0.14467,0.175016
-0.26582,0.0283911,0.700579,0.586578
0.031717,0.126706,0.442584,0.27742
0.354973,0.0602081,0.116858,0.0552962
0.0601038,0.0453219,0.0667949,0.335972
0.0376985,0.0608256,0.236344,0.0544594
0.138766,0.0828609,-0.250281,-0.243303
0.058039,0.118053,-0.395216,-0.197445
0.246946,0.00772778,-0.275451,-0.270418
