file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control003sub-experimental034_task-magictrickwatching_z.nii.gz,0.00229219,0.019359,0.00643157,0.00694469
ISC_sub-control003sub-experimental036_task-magictrickwatching_z.nii.gz,0.00595518,0.0249998,0.0102507,0.0229701
ISC_sub-control003sub-experimental038_task-magictrickwatching_z.nii.gz,0.00843737,0.0228642,0.00707571,-0.00804836
ISC_sub-control003sub-experimental040_task-magictrickwatching_z.nii.gz,-0.00518918,0.0363398,0.019759,-0.00415861
ISC_sub-control003sub-experimental042_task-magictrickwatching_z.nii.gz,0.013874,0.0204687,0.00249763,0.00239213
ISC_sub-control003sub-experimental044_task-magictrickwatching_z.nii.gz,0.0223925,0.0226713,-0.00105429,-0.00260038
ISC_sub-control003sub-experimental046_task-magictrickwatching_z.nii.gz,-0.00139975,0.0293504,0.0192596,0.0162608
ISC_sub-control003sub-experimental048_task-magictrickwatching_z.nii.gz,-0.0032918,0.0321623,0.0189365,-0.0088727
ISC_sub-control003sub-experimental050_task-magictrickwatching_z.nii.gz,0.00117297,0.039154,0.0224262,-0.00946654
ISC_sub-control007sub-control009_task-magictrickwatching_z.nii.gz,-0.00438773,0.0387625,0.0210302,-0.00832622
ISC_sub-control007sub-control011_task-magictrickwatching_z.nii.gz,-0.00915705,0.0198299,0.00269793,-0.0142177
ISC_sub-control007sub-control013_task-magictrickwatching_z.nii.gz,0.0148283,0.0314801,0.0213891,-0.00346296
ISC_sub-control007sub-control015_task-magictrickwatching_z.nii.gz,-0.0268238,0.00270506,0.00710386,0.0174571
ISC_sub-control007sub-control017_task-magictrickwatching_z.nii.gz,-0.00823836,0.00189677,0.00954017,0.0168584
ISC_sub-control007sub-control019_task-magictrickwatching_z.nii.gz,-0.00318783,0.024079,0.0112423,-0.00938442
ISC_sub-control007sub-control021_task-magictrickwatching_z.nii.gz,0.00175592,0.00199995,0.0177858,0.0100393
ISC_sub-control007sub-control023_task-magictrickwatching_z.nii.gz,-0.00900944,0.00251229,-0.0147937,-0.0155686
ISC_sub-control007sub-control025_task-magictrickwatching_z.nii.gz,-0.00120404,0.00729345,-0.0100892,0.0147343
ISC_sub-control007sub-control027_task-magictrickwatching_z.nii.gz,0.00375687,0.0304526,0.0196437,-0.00942471
ISC_sub-control007sub-control029_task-magictrickwatching_z.nii.gz,0.00496741,0.0121526,0.00931903,0.0203144
ISC_sub-control007sub-control031_task-magictrickwatching_z.nii.gz,0.0109177,0.0355961,0.00640208,0.00237102
ISC_sub-control007sub-control033_task-magictrickwatching_z.nii.gz,0.00416341,0.00546135,0.0208255,0.0119879
ISC_sub-control007sub-control035_task-magictrickwatching_z.nii.gz,-0.0103195,0.0120827,-0.00501215,0.00418525
ISC_sub-control007sub-control037_task-magictrickwatching_z.nii.gz,-0.0192127,0.00585447,-0.00511158,-0.00595035
ISC_sub-control007sub-control039_task-magictrickwatching_z.nii.gz,-0.0173095,0.0218724,0.0238561,-0.00296914
ISC_sub-control007sub-control041_task-magictrickwatching_z.nii.gz,0.00156297,0.00871535,-0.0188548,-0.00970558
ISC_sub-control007sub-control043_task-magictrickwatching_z.nii.gz,0.00338811,0.00330538,0.0128747,0.0105292
ISC_sub-control007sub-control045_task-magictrickwatching_z.nii.gz,0.00370124,0.00841937,0.0271472,0.00721737
ISC_sub-control007sub-control047_task-magictrickwatching_z.nii.gz,0.0078802,0.00733839,0.0084567,0.00384961
ISC_sub-control007sub-control049_task-magictrickwatching_z.nii.gz,0.00351136,0.0329174,-0.000641677,0.00742299
ISC_sub-control007sub-experimental004_task-magictrickwatching_z.nii.gz,-0.0155061,0.0204324,0.00032183,0.000982979
