Subj1	Subj2	grp	uniqueCur_highConf	grUniqueCur_highConf	uniqueMem_highConf	grUniqueMem_highConf	curBetaFull_highConf	grCurBetaFull_highConf	curBetaRed_highConf	grCurBetaRed_highConf	InputFile	\
sub-control002	sub-experimental042	0	-0.075435585	0	-0.068224575	0	-0.032224008	0	-0.060721875	0	ISC_sub-control002sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental044	0	-0.0822176	0	0.207781863	0	-0.045975884	0	-0.089184759	0	ISC_sub-control002sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental046	0	0.264606774	0	-0.089034155	0	-0.027604975	0	-0.060456293	0	ISC_sub-control002sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental048	0	-0.044221728	0	-0.128529714	0	-0.017063737	0	-0.037791247	0	ISC_sub-control002sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental050	0	-0.04560495	0	-0.015966143	0	-0.017925763	0	-0.040125786	0	ISC_sub-control002sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control007	1	0.162798483	0.162798483	0.221466574	0.221466574	-0.003739997	-0.003739997	-0.002497495	-0.002497495	ISC_sub-control003sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control009	1	-0.066566778	-0.066566778	0.222751116	0.222751116	-0.026595092	-0.026595092	-0.046274143	-0.046274143	ISC_sub-control003sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control011	1	0.1510796	0.1510796	-0.220570524	-0.220570524	-0.006208979	-0.006208979	-0.002487552	-0.002487552	ISC_sub-control003sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control013	1	-0.123008634	-0.123008634	0.131500799	0.131500799	-0.014232348	-0.014232348	-0.024261095	-0.024261095	ISC_sub-control003sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control015	1	0.00717934	0.00717934	-0.147450851	-0.147450851	-0.004107057	-0.004107057	-0.00409479	-0.00409479	ISC_sub-control003sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control017	1	0.077752186	0.077752186	-0.028034617	-0.028034617	-0.025653232	-0.025653232	-0.037387026	-0.037387026	ISC_sub-control003sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control019	1	-0.063965963	-0.063965963	-0.047703691	-0.047703691	-0.044686825	-0.044686825	-0.073773866	-0.073773866	ISC_sub-control003sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control021	1	-0.262611443	-0.262611443	0.154429178	0.154429178	-0.042212843	-0.042212843	-0.073021409	-0.073021409	ISC_sub-control003sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control023	1	0.146251482	0.146251482	-0.283685877	-0.283685877	-0.009855645	-0.009855645	-0.010626054	-0.010626054	ISC_sub-control003sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control025	1	-0.220481359	-0.220481359	0.173522806	0.173522806	-0.022851078	-0.022851078	-0.038708601	-0.038708601	ISC_sub-control003sub-control025_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control027	1	-0.016988121	-0.016988121	-0.173099751	-0.173099751	-0.016756158	-0.016756158	-0.026854249	-0.026854249	ISC_sub-control003sub-control027_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control029	1	-0.123301512	-0.123301512	-0.089224718	-0.089224718	-0.006898554	-0.006898554	-0.005675614	-0.005675614	ISC_sub-control003sub-control029_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control031	1	-0.349959283	-0.349959283	-0.127883509	-0.127883509	-0.006279048	-0.006279048	-0.019661573	-0.019661573	ISC_sub-control003sub-control031_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control033	1	-0.182507583	-0.182507583	-0.085980865	-0.085980865	-0.006970173	-0.006970173	-0.010284895	-0.010284895	ISC_sub-control003sub-control033_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control035	1	0.036323059	0.036323059	-0.323774408	-0.323774408	0.029904379	0.029904379	0.050780959	0.050780959	ISC_sub-control003sub-control035_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control037	1	-0.20090106	-0.20090106	-0.175489106	-0.175489106	0.005994162	0.005994162	0.012503558	0.012503558	ISC_sub-control003sub-control037_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control039	1	-0.135382435	-0.135382435	0.047736589	0.047736589	-0.021867412	-0.021867412	-0.03334985	-0.03334985	ISC_sub-control003sub-control039_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control041	1	0.179190819	0.179190819	0.063524162	0.063524162	-0.010276587	-0.010276587	-0.013755087	-0.013755087	ISC_sub-control003sub-control041_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control043	1	0.051815699	0.051815699	-0.176869457	-0.176869457	-0.016401722	-0.016401722	-0.022254273	-0.022254273	ISC_sub-control003sub-control043_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control045	1	-0.186565027	-0.186565027	-0.100748345	-0.100748345	-0.013089342	-0.013089342	-0.01730222	-0.01730222	ISC_sub-control003sub-control045_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control047	1	-0.076074003	-0.076074003	0.008419927	0.008419927	-0.012781479	-0.012781479	-0.014169961	-0.014169961	ISC_sub-control003sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control049	1	-0.491920384	-0.491920384	-0.121835354	-0.121835354	-0.033442656	-0.033442656	-0.064041572	-0.064041572	ISC_sub-control003sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental004	0	-0.382534669	0	0.141134963	0	0.010043493	0	0.015679449	0	ISC_sub-control003sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental005	0	0.14355614	0	-0.244031186	0	-0.022585779	0	-0.035307352	0	ISC_sub-control003sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental006	0	0.152149555	0	-0.182366669	0	-0.019799802	0	-0.03230705	0	ISC_sub-control003sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental008	0	-0.058564255	0	-0.02547972	0	0.009950806	0	0.015786073	0	ISC_sub-control003sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental010	0	-0.07706729	0	-0.221712675	0	0.022756336	0	0.038213047	0	ISC_sub-control003sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental012	0	0.084639304	0	0.07230752	0	-0.055075316	0	-0.095170185	0	ISC_sub-control003sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental014	0	-0.019147279	0	0.029739259	0	-0.031339772	0	-0.047995233	0	ISC_sub-control003sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental016	0	-0.082440828	0	-0.195426667	0	-0.003092979	0	0.000256922	0	ISC_sub-control003sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental018	0	-0.132272996	0	-0.07919357	0	0.014502995	0	0.026570783	0	ISC_sub-control003sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental020	0	0.095856558	0	-0.091692607	0	-0.031725247	0	-0.047230838	0	ISC_sub-control003sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental022	0	-0.013943521	0	-0.123616513	0	-0.02247432	0	-0.039213326	0	ISC_sub-control003sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental024	0	-0.437526176	0	-0.368703644	0	-0.013388514	0	-0.02245024	0	ISC_sub-control003sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental026	0	0.078118832	0	0.018573273	0	-0.009952096	0	-0.011510686	0	ISC_sub-control003sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental028	0	-0.152047781	0	-0.037477458	0	-0.013459263	0	-0.023638261	0	ISC_sub-control003sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental030	0	-0.144726785	0	-0.1629152	0	0.01195593	0	0.027994866	0	ISC_sub-control003sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental032	0	-0.268649972	0	-0.031088916	0	-0.013747975	0	-0.024195806	0	ISC_sub-control003sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental034	0	0.103461814	0	-0.117532354	0	0.007358161	0	0.016577505	0	ISC_sub-control003sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental036	0	-0.125882396	0	0.154780213	0	-0.009822868	0	-0.01377181	0	ISC_sub-control003sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental038	0	-0.650536547	0	0.09059402	0	-0.019242761	0	-0.030579079	0	ISC_sub-control003sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental040	0	-0.02605239	0	-0.059762043	0	-0.018724379	0	-0.027095291	0	ISC_sub-control003sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental042	0	0.016328702	0	-0.21280777	0	-0.037561218	0	-0.057799165	0	ISC_sub-control003sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental044	0	-0.037129236	0	0.145097256	0	-0.051313095	0	-0.08626205	0	ISC_sub-control003sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental046	0	-0.116587465	0	0.035077929	0	-0.032942185	0	-0.057533583	0	ISC_sub-control003sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental048	0	-0.142984127	0	-0.116546481	0	-0.022400947	0	-0.034868537	0	ISC_sub-control003sub-experimental048_task-magictrickwatching_z.nii.gz	\
